"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"21.02.2023","1.993,8","1.970,0","2.034,8","1.960,0","821,23K","1,83%"
"20.02.2023","1.958,0","1.963,0","1.968,0","1.913,0","449,06K","-0,66%"
"17.02.2023","1.971,0","1.975,0","1.987,8","1.956,0","332,34K","-0,27%"
"16.02.2023","1.976,4","1.980,0","2.023,0","1.958,0","626,50K","0,37%"
"15.02.2023","1.969,2","2.030,2","2.048,0","1.921,6","1,84M","-2,93%"
"14.02.2023","2.028,6","2.064,8","2.065,0","1.994,0","796,13K","-1,77%"
"13.02.2023","2.065,2","2.071,0","2.092,4","2.057,8","399,73K","0,21%"
"10.02.2023","2.060,8","2.046,2","2.065,2","2.032,8","322,54K","1,00%"
"09.02.2023","2.040,4","2.057,2","2.058,6","2.032,0","246,71K","-0,96%"
"08.02.2023","2.060,2","2.080,6","2.080,6","2.036,0","421,58K","-0,79%"
"07.02.2023","2.076,6","2.090,0","2.104,2","2.061,0","442,89K","-0,86%"
"06.02.2023","2.094,6","2.070,0","2.108,0","2.070,0","764,67K","1,89%"
"03.02.2023","2.055,8","2.074,8","2.074,8","2.025,0","538,46K","-0,93%"
"02.02.2023","2.075,0","2.099,8","2.102,6","2.055,0","420,35K","-0,62%"
"01.02.2023","2.088,0","2.050,0","2.128,0","2.036,2","1,73M","1,99%"
"31.01.2023","2.047,2","1.938,6","2.047,4","1.934,0","1,19M","5,85%"
"30.01.2023","1.934,0","1.912,0","1.938,6","1.912,0","188,92K","1,15%"
"27.01.2023","1.912,0","1.900,0","1.916,0","1.897,6","154,61K","0,48%"
"26.01.2023","1.902,8","1.910,0","1.924,8","1.885,0","250,60K","-0,63%"
"25.01.2023","1.914,8","1.920,2","1.927,6","1.897,2","237,59K","-0,26%"
"24.01.2023","1.919,8","1.949,6","1.959,8","1.912,2","422,88K","-1,30%"
"23.01.2023","1.945,0","1.910,0","1.948,0","1.903,2","338,80K","2,11%"
"20.01.2023","1.904,8","1.877,8","1.913,8","1.871,2","308,45K","1,19%"
"19.01.2023","1.882,4","1.910,0","1.914,0","1.873,2","196,33K","-1,27%"
"18.01.2023","1.906,6","1.889,0","1.931,8","1.872,8","408,58K","0,90%"
"17.01.2023","1.889,6","1.959,0","1.959,0","1.869,8","533,20K","-3,29%"
"16.01.2023","1.953,8","1.925,6","1.955,0","1.923,0","314,69K","2,19%"
"13.01.2023","1.912,0","1.900,0","1.914,6","1.883,4","208,34K","0,75%"
"12.01.2023","1.897,8","1.909,0","1.914,8","1.886,8","203,03K","-0,59%"
"11.01.2023","1.909,0","1.874,8","1.909,6","1.873,0","307,07K","2,09%"
"10.01.2023","1.870,0","1.869,8","1.873,8","1.855,0","195,54K","0,17%"
"09.01.2023","1.866,8","1.855,8","1.874,2","1.850,0","216,52K","0,89%"
"06.01.2023","1.850,4","1.856,0","1.864,4","1.845,0","74,73K","-0,27%"
"05.01.2023","1.855,4","1.871,0","1.886,8","1.841,2","156,87K","-0,62%"
"04.01.2023","1.867,0","1.832,0","1.877,0","1.827,2","221,87K","1,91%"
"03.01.2023","1.832,0","1.817,0","1.839,0","1.805,8","210,14K","0,78%"
"30.12.2022","1.817,8","1.812,2","1.823,0","1.791,0","370,92K","-0,10%"
"29.12.2022","1.819,6","1.816,6","1.828,2","1.806,2","233,79K","0,21%"
"28.12.2022","1.815,8","1.822,8","1.846,0","1.811,0","349,57K","-0,99%"
"27.12.2022","1.834,0","1.817,2","1.849,6","1.797,2","356,24K","1,25%"
"26.12.2022","1.811,4","1.826,0","1.829,8","1.793,0","393,80K","-0,54%"
"23.12.2022","1.821,2","1.847,0","1.847,0","1.811,0","401,52K","-1,40%"
"22.12.2022","1.847,0","1.836,4","1.865,0","1.810,0","425,06K","0,72%"
"21.12.2022","1.833,8","1.856,0","1.878,0","1.791,2","522,60K","-0,45%"
"20.12.2022","1.842,0","1.764,6","1.845,0","1.764,6","510,00K","4,14%"
"19.12.2022","1.768,8","1.830,0","1.834,8","1.762,4","583,81K","-3,68%"
"16.12.2022","1.836,4","1.854,8","1.862,2","1.830,8","255,84K","-0,71%"
"15.12.2022","1.849,6","1.850,0","1.883,0","1.823,6","567,68K","-0,08%"
"14.12.2022","1.851,0","1.900,0","1.900,0","1.826,4","749,29K","-2,54%"
"13.12.2022","1.899,2","1.926,0","1.927,0","1.881,0","489,65K","-1,18%"
"12.12.2022","1.921,8","1.950,8","1.959,6","1.910,0","279,45K","-1,42%"
"09.12.2022","1.949,4","1.950,2","1.963,0","1.933,0","193,63K","-0,46%"
"08.12.2022","1.958,4","1.976,6","1.984,8","1.940,8","312,45K","-0,91%"
"07.12.2022","1.976,4","1.989,4","1.989,8","1.962,0","218,53K","-0,65%"
"06.12.2022","1.989,4","1.988,0","2.000,0","1.961,6","367,31K","0,18%"
"05.12.2022","1.985,8","1.963,2","2.004,4","1.963,2","601,60K","0,74%"
"02.12.2022","1.971,2","1.980,2","1.980,2","1.957,2","268,38K","-0,45%"
"01.12.2022","1.980,2","2.000,0","2.003,6","1.960,0","412,84K","-0,82%"
"30.11.2022","1.996,6","1.988,0","2.014,6","1.954,8","763,50K","0,52%"
"29.11.2022","1.986,2","1.918,8","1.992,0","1.916,4","1,18M","3,76%"
